species,n_muestras,T_frames_mean,H_raw_mean,H_raw_median,H_hat_mean,H_hat_median
Crypturellus cinereus,190,57.09473684210526,0.14567413177296118,0.1354590947360011,-0.19579828151520157,-0.20538943376115382
Crypturellus bartletti,143,295.8181818181818,0.2049445754430499,0.18982720061704106,-0.0769699423462465,-0.08703618991993162
Crypturellus cinnamomeus,104,52.04807692307692,0.21800230109431273,0.2010676946765993,-0.12571042323573509,-0.14357559060167296
Crypturellus obsoletus,100,249.88,0.44141296758907045,0.432630713773576,0.12816553821447652,0.12343755315733049
Eudromia elegans,80,28.9125,0.46157532809555485,0.47784918429709755,0.09097862617003326,0.09988222390995335
Crypturellus noctivagus,76,126.21052631578948,0.2335739099229576,0.2321929442117005,-0.07465476031171996,-0.07413802388788851
Crypturellus erythropus,72,123.84722222222223,0.21137970473160958,0.20391504361104207,-0.09766313241769255,-0.10404242948911123
Crypturellus boucardi,71,202.7605633802817,0.16499269511798323,0.15835185594219692,-0.12479781199452065,-0.12897971763697808
Crypturellus atrocapillus,63,24.682539682539684,0.41774168787801,0.42428548490449297,0.045746547323541276,0.05241347095116672
Nothoprocta curvirostris,60,32.65,0.48808816610238676,0.4874906943262706,0.11368575772426347,0.11011771153792901
Tinamotis pentlandii,60,48.2,0.46636691474238806,0.4779778376795458,0.11446004305417008,0.12502916836328618
Crypturellus duidae,56,175.875,0.2127244282027483,0.21292185393624372,-0.0826399787113248,-0.0833544399468401
Nothura minor,55,91.2909090909091,0.21849617722627165,0.18835919314080743,-0.15015898862570348,-0.18096263595685733
Crypturellus berlepschi,55,59.61818181818182,0.27664988365016163,0.2743375381593558,-0.06175311556308902,-0.0767221001021629
Eudromia formosa,55,74.49090909090908,0.35788663703482543,0.36420883942202503,0.02759463673254808,0.04455655004469866
Crypturellus undulatus,53,147.41509433962264,0.25785491980935915,0.26151785583417053,-0.04449736050903945,-0.04363219447154798
Nothoprocta cinerascens,53,532.4528301886793,0.37736389806528103,0.37544507715658876,0.12249444302762268,0.11745546888550973
Nothura boraquira,53,54.886792452830186,0.24845415816330108,0.24577581940420457,-0.09288586841698526,-0.09722792041406852
Crypturellus tataupa,53,285.2830188679245,0.5262184508906289,0.5368533511178211,0.22423970429618154,0.2365187178563093
Tinamus guttatus,53,403.1698113207547,0.1752494775929873,0.16970396962987538,-0.09031844852536017,-0.09545360439454784
Tinamotis ingoufi,51,126.43137254901961,0.3282059577794024,0.3349380162783197,0.0010398148423155424,-0.005849456261948993
Crypturellus soui,51,105.07843137254902,0.31502498653641237,0.30443707347423266,-0.003201273362243092,-0.006453618863177968
Rhynchotus rufescens,50,148.78,0.4285791503860967,0.4271996185082404,0.12659201424542074,0.12381534150247858
Rhynchotus maculicollis,50,40.04,0.5061332007905744,0.5238868166083858,0.1533412901900287,0.1668017551426682
Taoniscus nanus,50,383.98,0.34059923108043855,0.34371533462448145,0.034198801960903163,0.06073484548364619
Nothoprocta perdicaria,50,26.52,0.5712232964981715,0.5750837833171435,0.20224249267592598,0.21136374667877178
Nothura maculosa,50,536.24,0.32701235303471,0.32628771522980043,0.06562706304106544,0.06237609485999446
Tinamus major,50,398.56,0.2567421836792158,0.26081466168005807,-0.012469756736132764,-0.011797928283071552
Tinamus solitarius,50,98.44,0.21075954851953274,0.21095072528054531,-0.10902258701749337,-0.10058572959120973
Nothura darwinii,50,423.16,0.2593514683832768,0.25494782876390415,-0.003818756258738918,-0.006384821588810818
Nothocercus bonapartei,50,17.32,0.3474539502555081,0.34632489400162686,-0.03844140650041141,-0.03935434483783448
Nothoprocta pentlandii,50,23.98,0.5961853995252411,0.5987240669902006,0.2230252275813387,0.22492155938932534
Nothoprocta ornata,50,31.54,0.5574265041161712,0.5555640165286327,0.1552963217015866,0.13841905759550424
Nothocercus nigrocapillus,50,21.9,0.504309079057284,0.506346110309406,0.12808451780294022,0.13142466261737662
Nothocercus julius,50,16.52,0.4609684732110006,0.46581428652643675,0.07335251801375178,0.07957370782946863
Crypturellus transfasciatus,50,29.22,0.49681627018423735,0.5033881578671271,0.13126615658508897,0.1342304007324175
Crypturellus strigulosus,50,467.6,0.18289300164771694,0.17844234409334295,-0.07477498722214712,-0.0800326894447344
Crypturellus parvirostris,50,1014.44,0.45219844855280583,0.4566665426799493,0.18881828414539473,0.18467817141328288
Tinamus tao,50,68.32,0.174926986832301,0.16750885305036547,-0.16061422662808397,-0.16881193107115613
Crypturellus variegatus,46,525.4782608695652,0.2879557115788067,0.2976630652218751,0.02821204320490595,0.03285720651601107
Tinamus osgoodi,45,401.1777777777778,0.24628157688180446,0.24399994438804204,-0.019442297296585857,-0.017026800742339004
Crypturellus brevirostris,34,541.3823529411765,0.20906138579860703,0.2113434514561573,-0.07387608423585848,-0.10166005363536383
Crypturellus kerriae,17,122.17647058823529,0.23935338980572246,0.22992008044547993,-0.07062432625537118,-0.07667085091377548
Nothoprocta taczanowskii,14,46.642857142857146,0.5545489912653492,0.5571654275615907,0.20740609184290085,0.20858734083182479
Crypturellus ptaritepui,12,171.91666666666666,0.3231970864759111,0.3405964500729973,0.02689107637573916,0.04078786849165095
Crypturellus casiquiare,5,2243.2,0.3319237888608577,0.3229553109455886,0.13552460106206476,0.128656334690939
