species,n_muestras,T_frames_mean,SF_raw_mean,SF_raw_median,SF_hat_mean,SF_hat_median
Crypturellus cinereus,190,59.09473684210526,1.84832653219707,1.766507443422341,-1.1882681341642551,-1.269058653024012
Crypturellus bartletti,143,297.8181818181818,2.806715290605538,2.854281744813523,-0.11849823186594696,-0.06258975347224904
Crypturellus cinnamomeus,104,54.04807692307692,2.7769982249368494,2.8341856273090826,-0.2637334161568079,-0.21470380243282827
Crypturellus obsoletus,100,251.88,3.3462845414103466,3.3475117132204297,0.3628983372922194,0.36088392570928174
Eudromia elegans,80,30.9125,3.6133176801923197,3.6043210355387014,0.5245723630212609,0.5141814933871136
Crypturellus noctivagus,76,128.21052631578948,2.648198830113722,2.6563029465609658,-0.3267240979554325,-0.3254897255350233
Crypturellus erythropus,72,125.84722222222223,2.4514622297146222,2.463098199838118,-0.524984411367413,-0.5226538283787039
Crypturellus boucardi,71,204.7605633802817,2.119609966245267,2.091888852069743,-0.8206301028846869,-0.8523943884203922
Crypturellus atrocapillus,63,26.682539682539684,3.699915623269262,3.716492269180756,0.6082545444615172,0.6293638864005255
Nothoprocta curvirostris,60,34.65,3.1343750403857595,3.134822506269537,0.039406236526567835,0.029294809230071772
Tinamotis pentlandii,60,50.2,3.740210190874154,3.7136826767106594,0.684788977717512,0.6629317299461164
Crypturellus duidae,56,177.875,2.515912837779708,2.5779492827755375,-0.43483192266278126,-0.37250387057641565
Nothura minor,55,93.2909090909091,2.1288176722433017,2.138818459679049,-0.9533227233765699,-0.9351713497215233
Crypturellus berlepschi,55,61.61818181818182,2.5492579551635983,2.5268522619725355,-0.48173417965278265,-0.5032078603342556
Eudromia formosa,55,76.49090909090908,3.7015610429452686,3.831973594359588,0.6855932580613294,0.8093418206948293
Crypturellus undulatus,53,149.41509433962264,2.758353957585164,2.71459528530083,-0.20553443055011025,-0.25535800791132734
Nothoprocta cinerascens,53,534.4528301886793,2.85002206110506,2.8149810570175537,-0.024092975264753982,-0.04622730066389469
Nothura boraquira,53,56.886792452830186,2.5338591932306413,2.590386797297811,-0.5025242283357896,-0.4391925933250369
Crypturellus tataupa,53,287.2830188679245,3.699868876646586,3.7820337879895036,0.737479583638725,0.8508320389502781
Tinamus guttatus,53,405.1698113207547,2.092848846622296,2.0124287633674705,-0.801561845137608,-0.8470890779148759
Tinamotis ingoufi,51,128.4313725490196,3.080086591120549,3.2004642437423234,0.07028648068899358,0.18539117731076127
Crypturellus soui,51,107.07843137254902,3.0374314920050787,3.0413858676948067,0.04397372699653996,0.05094509652884227
Rhynchotus rufescens,50,150.78,3.5915083296005523,3.5748434709194257,0.6283063827866193,0.6023941187877526
Rhynchotus maculicollis,50,42.04,3.8041611587264708,3.8216454274477805,0.7468009477762163,0.7678547618093825
Taoniscus nanus,50,385.98,3.2357180647381742,3.3192850336665454,0.2670577441214163,0.42887556705125496
Nothoprocta perdicaria,50,28.52,3.6374963108988725,3.6481010257894493,0.5511254900806277,0.5647122678327077
Nothura maculosa,50,538.24,3.6907435890711384,3.716372059350838,0.8043782399419692,0.8198800452167414
Tinamus major,50,400.56,3.298592860873522,3.375235266997139,0.39733722184288034,0.46127365221605654
Tinamus solitarius,50,100.44,3.0853770126362923,3.2305535646730323,0.08892508717443608,0.23690967972926336
Nothura darwinii,50,425.16,3.8087966876808137,3.8172767335574145,0.9189287655835754,0.9275975507834293
Nothocercus bonapartei,50,19.32,3.3856316125336785,3.384923564714172,0.26990745458972676,0.2780146402472079
Nothoprocta pentlandii,50,25.98,3.544883654263154,3.6029975806472714,0.4511832024892319,0.514344902436342
Nothoprocta ornata,50,33.54,3.4887483487780258,3.5146863225796867,0.3489146409232856,0.35082449936171867
Nothocercus nigrocapillus,50,23.9,3.313623095798038,3.3216319560221756,0.21449496128377446,0.2254940529702294
Nothocercus julius,50,18.52,3.5489856353525777,3.5086642574283293,0.4303293460962563,0.3997534650543302
Crypturellus transfasciatus,50,31.22,3.9001997284489103,3.9113802366662833,0.8199543916072501,0.8231961845461593
Crypturellus strigulosus,50,469.6,2.165945923369098,2.2368744900832347,-0.7135084794469464,-0.6425187195426059
Crypturellus parvirostris,50,1016.44,3.6221585489761225,3.6990787316692524,0.7328959539287838,0.8057057124458697
Tinamus tao,50,70.32,3.024158769324731,3.110936483106556,-0.0014054108939232446,0.08511309665846611
Crypturellus variegatus,46,527.4782608695652,3.1554159903145034,3.2638181827592962,0.27216073842080407,0.3564168916107773
Tinamus osgoodi,45,403.1777777777778,2.35799286741732,2.333814192470797,-0.5367002358353082,-0.5425145879214979
Crypturellus brevirostris,34,543.3823529411765,2.9473660329894624,3.003706148398076,0.020660715464495015,0.018988437350401455
Crypturellus kerriae,17,124.17647058823529,2.7845879090434034,2.8754127479358984,-0.19359365718166016,-0.10552140153710177
Nothoprocta taczanowskii,14,48.642857142857146,3.3291844981363936,3.363318416548822,0.28213317005328553,0.3118096131537793
Crypturellus ptaritepui,12,173.91666666666666,2.495868485234667,2.5540609762130106,-0.4566488973410605,-0.38980219141129724
Crypturellus casiquiare,5,2245.2,2.948061125512105,2.9149487109626455,0.18506525480440406,0.15863513267387708
