species,set,quantile,distance,file
Crypturellus atrocapillus,1,0.05,0.05708080530166626,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/221800_03.npz
Crypturellus atrocapillus,2,0.15,0.06616175174713135,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/151848_03.npz
Crypturellus atrocapillus,3,0.25,0.07037442922592163,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/474407_01.npz
Crypturellus atrocapillus,4,0.35,0.07895028591156006,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/436146_01.npz
Crypturellus atrocapillus,5,0.44999999999999996,0.08304762840270996,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/490304_02.npz
Crypturellus atrocapillus,6,0.5499999999999999,0.10288524627685547,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/535963_02.npz
Crypturellus atrocapillus,7,0.65,0.1158522367477417,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/83023_01.npz
Crypturellus atrocapillus,8,0.75,0.12676239013671875,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/90565_01.npz
Crypturellus atrocapillus,9,0.85,0.14547216892242432,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/13355_01.npz
Crypturellus atrocapillus,10,0.95,0.174859881401062,../data/Tinamidae_5s_npz/Crypturellus atrocapillus/221801_01.npz
Crypturellus bartletti,1,0.05,0.12738829851150513,../data/Tinamidae_5s_npz/Crypturellus bartletti/192_02.npz
Crypturellus bartletti,2,0.15,0.161279559135437,../data/Tinamidae_5s_npz/Crypturellus bartletti/158359_02.npz
Crypturellus bartletti,3,0.25,0.17581814527511597,../data/Tinamidae_5s_npz/Crypturellus bartletti/66596_01.npz
Crypturellus bartletti,4,0.35,0.1992785930633545,../data/Tinamidae_5s_npz/Crypturellus bartletti/212362_01.npz
Crypturellus bartletti,5,0.44999999999999996,0.23107755184173584,../data/Tinamidae_5s_npz/Crypturellus bartletti/73473_10.npz
Crypturellus bartletti,6,0.5499999999999999,0.2543790936470032,../data/Tinamidae_5s_npz/Crypturellus bartletti/207889_01.npz
Crypturellus bartletti,7,0.65,0.2767641544342041,../data/Tinamidae_5s_npz/Crypturellus bartletti/73473_12.npz
Crypturellus bartletti,8,0.75,0.30014026165008545,../data/Tinamidae_5s_npz/Crypturellus bartletti/75992_02.npz
Crypturellus bartletti,9,0.85,0.35713624954223633,../data/Tinamidae_5s_npz/Crypturellus bartletti/66596_06.npz
Crypturellus bartletti,10,0.95,0.41680777072906494,../data/Tinamidae_5s_npz/Crypturellus bartletti/63321_07.npz
Crypturellus berlepschi,1,0.05,0.07004058361053467,../data/Tinamidae_5s_npz/Crypturellus berlepschi/38.npz
Crypturellus berlepschi,2,0.15,0.08480966091156006,../data/Tinamidae_5s_npz/Crypturellus berlepschi/03.npz
Crypturellus berlepschi,3,0.25,0.09486836194992065,../data/Tinamidae_5s_npz/Crypturellus berlepschi/23.npz
Crypturellus berlepschi,4,0.35,0.11502104997634888,../data/Tinamidae_5s_npz/Crypturellus berlepschi/22.npz
Crypturellus berlepschi,5,0.44999999999999996,0.12067407369613647,../data/Tinamidae_5s_npz/Crypturellus berlepschi/24.npz
Crypturellus berlepschi,6,0.5499999999999999,0.14168161153793335,../data/Tinamidae_5s_npz/Crypturellus berlepschi/06.npz
Crypturellus berlepschi,7,0.65,0.1725010871887207,../data/Tinamidae_5s_npz/Crypturellus berlepschi/30.npz
Crypturellus berlepschi,8,0.75,0.23320358991622925,../data/Tinamidae_5s_npz/Crypturellus berlepschi/25.npz
Crypturellus berlepschi,9,0.85,0.2920328378677368,../data/Tinamidae_5s_npz/Crypturellus berlepschi/28.npz
Crypturellus berlepschi,10,0.95,0.3604666590690613,../data/Tinamidae_5s_npz/Crypturellus berlepschi/47.npz
Crypturellus boucardi,1,0.05,0.03995072841644287,../data/Tinamidae_5s_npz/Crypturellus boucardi/12.npz
Crypturellus boucardi,2,0.15,0.04425990581512451,../data/Tinamidae_5s_npz/Crypturellus boucardi/44.npz
Crypturellus boucardi,3,0.25,0.04938864707946777,../data/Tinamidae_5s_npz/Crypturellus boucardi/33.npz
Crypturellus boucardi,4,0.35,0.05839943885803223,../data/Tinamidae_5s_npz/Crypturellus boucardi/63.npz
Crypturellus boucardi,5,0.44999999999999996,0.06487154960632324,../data/Tinamidae_5s_npz/Crypturellus boucardi/71.npz
Crypturellus boucardi,6,0.5499999999999999,0.07320785522460938,../data/Tinamidae_5s_npz/Crypturellus boucardi/03.npz
Crypturellus boucardi,7,0.65,0.08076000213623047,../data/Tinamidae_5s_npz/Crypturellus boucardi/68.npz
Crypturellus boucardi,8,0.75,0.10843849182128906,../data/Tinamidae_5s_npz/Crypturellus boucardi/15.npz
Crypturellus boucardi,9,0.85,0.12631291151046753,../data/Tinamidae_5s_npz/Crypturellus boucardi/32.npz
Crypturellus boucardi,10,0.95,0.17939162254333496,../data/Tinamidae_5s_npz/Crypturellus boucardi/70.npz
Crypturellus brevirostris,1,0.05,0.1571207046508789,../data/Tinamidae_5s_npz/Crypturellus brevirostris/01.npz
Crypturellus brevirostris,2,0.15,0.18024170398712158,../data/Tinamidae_5s_npz/Crypturellus brevirostris/05_chunk5.npz
Crypturellus brevirostris,3,0.25,0.20060193538665771,../data/Tinamidae_5s_npz/Crypturellus brevirostris/08_chunk1.npz
Crypturellus brevirostris,4,0.35,0.20707488059997559,../data/Tinamidae_5s_npz/Crypturellus brevirostris/03_chunk1.npz
Crypturellus brevirostris,5,0.44999999999999996,0.25017571449279785,../data/Tinamidae_5s_npz/Crypturellus brevirostris/03_chunk2.npz
Crypturellus brevirostris,6,0.5499999999999999,0.2717723846435547,../data/Tinamidae_5s_npz/Crypturellus brevirostris/28_chunk2.npz
Crypturellus brevirostris,7,0.65,0.32430803775787354,../data/Tinamidae_5s_npz/Crypturellus brevirostris/10.npz
Crypturellus brevirostris,8,0.75,0.35445141792297363,../data/Tinamidae_5s_npz/Crypturellus brevirostris/16.npz
Crypturellus brevirostris,9,0.85,0.39581650495529175,../data/Tinamidae_5s_npz/Crypturellus brevirostris/11.npz
Crypturellus brevirostris,10,0.95,0.4363044500350952,../data/Tinamidae_5s_npz/Crypturellus brevirostris/18.npz
Crypturellus casiquiare,1,0.05,0.046296775341033936,../data/Tinamidae_5s_npz/Crypturellus casiquiare/01_chunk3.npz
Crypturellus casiquiare,2,0.15,0.05083543062210083,../data/Tinamidae_5s_npz/Crypturellus casiquiare/04_chunk4.npz
Crypturellus casiquiare,3,0.25,0.07884258031845093,../data/Tinamidae_5s_npz/Crypturellus casiquiare/02_chunk4.npz
Crypturellus casiquiare,4,0.35,0.08234024047851562,../data/Tinamidae_5s_npz/Crypturellus casiquiare/05_chunk3.npz
Crypturellus casiquiare,5,0.44999999999999996,0.10566091537475586,../data/Tinamidae_5s_npz/Crypturellus casiquiare/03_chunk4.npz
Crypturellus casiquiare,6,0.5499999999999999,0.12795096635818481,../data/Tinamidae_5s_npz/Crypturellus casiquiare/04_chunk2.npz
Crypturellus casiquiare,7,0.65,0.159079909324646,../data/Tinamidae_5s_npz/Crypturellus casiquiare/04_chunk1.npz
Crypturellus casiquiare,8,0.75,0.16006982326507568,../data/Tinamidae_5s_npz/Crypturellus casiquiare/05_chunk4.npz
Crypturellus casiquiare,9,0.85,0.17633867263793945,../data/Tinamidae_5s_npz/Crypturellus casiquiare/01_chunk1.npz
Crypturellus casiquiare,10,0.95,0.25268447399139404,../data/Tinamidae_5s_npz/Crypturellus casiquiare/03_chunk1.npz
Crypturellus cinereus,1,0.05,0.04294317960739136,../data/Tinamidae_5s_npz/Crypturellus cinereus/81.npz
Crypturellus cinereus,2,0.15,0.06039649248123169,../data/Tinamidae_5s_npz/Crypturellus cinereus/175.npz
Crypturellus cinereus,3,0.25,0.06968790292739868,../data/Tinamidae_5s_npz/Crypturellus cinereus/188.npz
Crypturellus cinereus,4,0.35,0.08295679092407227,../data/Tinamidae_5s_npz/Crypturellus cinereus/160.npz
Crypturellus cinereus,5,0.44999999999999996,0.09655272960662842,../data/Tinamidae_5s_npz/Crypturellus cinereus/53.npz
Crypturellus cinereus,6,0.5499999999999999,0.10970550775527954,../data/Tinamidae_5s_npz/Crypturellus cinereus/101.npz
Crypturellus cinereus,7,0.65,0.12282538414001465,../data/Tinamidae_5s_npz/Crypturellus cinereus/135.npz
Crypturellus cinereus,8,0.75,0.14972352981567383,../data/Tinamidae_5s_npz/Crypturellus cinereus/52.npz
